,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
,3,Negative,Work/Career Development,,,Writing opinions,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be negative.",N/A,Your supervisor probably found you to be...,Incapable,Capable,https://drive.google.com/file/d/1Zwj-98ezSg12UdfsYVfxCdgM2a2O6XHw/view?usp=sharing,8.jpg,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be negative.",N/A,Your supervisor probably found you to be...,Incapable,Capable,https://drive.google.com/file/d/1Zwj-98ezSg12UdfsYVfxCdgM2a2O6XHw/view?usp=sharing,8.jpg,1
,4,Positive,Work/Career Development,,,A lengthy read,"You have been assigned a task, and you try very hard to make sure it is thorough. The job is quite difficult. When your supervisor sees it, you think they will judge your efforts as suitable.",N/A,Will your supervisor judge your efforts as reasonable?,Yes,No,https://drive.google.com/file/d/1RKi9OcuyFaniZ5jGBXttumHbaAOKNP2G/view?usp=sharing,13.jpg,"You have been assigned a task, and you try very hard to make sure it is thorough. The job is quite difficult. When your supervisor sees it, you think they will judge your efforts as suitable.",N/A,Will your supervisor judge your efforts as reasonable?,Yes,No,https://drive.google.com/file/d/1RKi9OcuyFaniZ5jGBXttumHbaAOKNP2G/view?usp=sharing,13.jpg,1
,5,Positive,Work/Career Development,Social Situations,,Bad rumor,"You heard a rumor your supervisor is planning on firing someone in your position. Although you are normally a good employee, you were late for a meeting earlier this week. You feel that the probability of you getting fired is small.",N/A,You think that your supervisor could be...,Not planning to fire anyone since it was a rumor,Planning to fire you,https://drive.google.com/file/d/1Ufz-pbEsTswKD1WwWeGUqfBKkpWje2t7/view?usp=sharing,14.jpg,"You heard a rumor your supervisor is planning on firing someone in your position. Although you are normally a good employee, you were late for a meeting earlier this week. You feel that the probability of you getting fired is small.",N/A,You think that your supervisor could be...,Not planning to fire anyone since it was a rumor,Planning to fire you,https://drive.google.com/file/d/1Ufz-pbEsTswKD1WwWeGUqfBKkpWje2t7/view?usp=sharing,14.jpg,1
,6,Resilience/Negation,Work/Career Development,,,An interview panel,"You are the third and final candidate to be interviewed for a job. The interview panel greets you as you walk into the conference room. When you sit down, you feel your cheeks burning red, and you start to shake. The panel probably sees you as nervous.","After the interview, you realize that it is normal to be nervous during panel interviews. The panelists probably saw you as reasonably calm and enthusiastic.",Do you think the interviewers see you as a nervous person?,No,Yes,https://drive.google.com/file/d/1mTDpifErX2S2EJttSEMaqR6mz1MpzjR7/view?usp=sharing,15.jpg,"You are the third and final candidate to be interviewed for a job. The interview panel greets you as you walk into the conference room. When you sit down, you feel your cheeks burning red, and you start to shake. The panel probably sees you as nervous.","After the interview, you realize that it is normal to be nervous during panel interviews. The panelists probably saw you as reasonably calm and enthusiastic.",Do you think the interviewers see you as a nervous person?,No,Yes,https://drive.google.com/file/d/1mTDpifErX2S2EJttSEMaqR6mz1MpzjR7/view?usp=sharing,15.jpg,1
,7,Positive,Work/Career Development,,,Future limitations,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably...",Find a new job that you enjoy,Be unable to support yourself,https://drive.google.com/file/d/1RnImJE-U_C1bMfkgSBjJk7I4RaUqraB1/view?usp=sharing,16.jpg,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably...",Find a new job that you enjoy,Be unable to support yourself,https://drive.google.com/file/d/1RnImJE-U_C1bMfkgSBjJk7I4RaUqraB1/view?usp=sharing,16.jpg,1
,8,Positive,Work/Career Development,Social Situations,,A sudden stumble,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that...,You are ready to take on challenges,You are a clumsy person,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,17.jpg,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that...,You are ready to take on challenges,You are a clumsy person,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,17.jpg,1
,9,Positive,Work/Career Development,Social Situations,,Quick task completion,"You have started working on a new committee with other staff, and you are given a task that normally takes a few days, but you manage to finish it the same day. You show it to the rest of the committee, who find only one mistake in your work. As the meeting ends, you expect they think your work is commendable.",N/A,Was the committee pleased with your work?,Yes,No,https://drive.google.com/file/d/1L13QcCiq5pWIaUjHGkFhwwQeosh7S9tG/view?usp=sharing,18.jpg,"You have started working on a new committee with other staff, and you are given a task that normally takes a few days, but you manage to finish it the same day. You show it to the rest of the committee, who find only one mistake in your work. As the meeting ends, you expect they think your work is commendable.",N/A,Was the committee pleased with your work?,Yes,No,https://drive.google.com/file/d/1L13QcCiq5pWIaUjHGkFhwwQeosh7S9tG/view?usp=sharing,18.jpg,1
,10,Resilience/Negation,Work/Career Development,Social Situations,,Correction,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad employee. Your boss had corrected you kindly, as was their job, and you feel that the whole interaction went well.",Is it okay to occasionally answer a question from your boss incorrectly?,Yes,No,https://drive.google.com/file/d/1LkIEzSKHGt3ThPYYrQWPZjfUroEcuFve/view?usp=sharing,19.jpg,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad employee. Your boss had corrected you kindly, as was their job, and you feel that the whole interaction went well.",Is it okay to occasionally answer a question from your boss incorrectly?,Yes,No,https://drive.google.com/file/d/1LkIEzSKHGt3ThPYYrQWPZjfUroEcuFve/view?usp=sharing,19.jpg,1
3,1,Positive,Work/Career Development,Social Situations,,Contributing to a discussion,Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your colleagues will find your ideas to be exciting.,N/A,The people in your office will probably...,Support your ideas,Dislike your ideas,https://drive.google.com/file/d/1JLyALw0FAi4CqbIXE3sRzXwYRToDyEgw/view?usp=sharing,21.jpg,Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your colleagues will find your ideas to be exciting.,N/A,The people in your office will probably...,Support your ideas,Dislike your ideas,https://drive.google.com/file/d/1JLyALw0FAi4CqbIXE3sRzXwYRToDyEgw/view?usp=sharing,21.jpg,1
,2,Positive,Work/Career Development,Social Situations,,A night off,"You have a big project due at the end of the week. Your work isn't finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",N/A,Is it okay that you stopped working to go out with friends?  ,Yes,No,https://drive.google.com/file/d/1sp47R6r1ixHVuH4FTKwHC2nrZaym61Iy/view?usp=sharing,22.jpg,"You have a big project due at the end of the week. Your work isn't finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",N/A,Is it okay that you stopped working to go out with friends?  ,Yes,No,https://drive.google.com/file/d/1sp47R6r1ixHVuH4FTKwHC2nrZaym61Iy/view?usp=sharing,22.jpg,1
,3,Positive,Work/Career Development,Social Situations,,Word stumbling,"You have to make a presentation about your work to your colleagues and your boss. As you start, you stumble on your first few words. Continuing with it, you think that your performance will be evaluated positively.",N/A,Do you think others will like your presentation?,Yes,No,https://drive.google.com/file/d/1xUVHP-lj26dCvOIiMMMta2bgIGRH5hR9/view?usp=sharing,20.jpg,"You have to make a presentation about your work to your colleagues and your boss. As you start, you stumble on your first few words. Continuing with it, you think that your performance will be evaluated positively.",N/A,Do you think others will like your presentation?,Yes,No,https://drive.google.com/file/d/1xUVHP-lj26dCvOIiMMMta2bgIGRH5hR9/view?usp=sharing,20.jpg,1
,4,Positive,Work/Career Development,Social Situations,,Optional presentation,"Your boss has hired a few interns for the summer. Your boss asks you to stay after work to give them a brief presentation about the university's goals and values but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to stay.",N/A,Do you stay to give the optional presentation?,Yes,No,https://drive.google.com/file/d/1f7AX8AtByV-EKIO86OXhrR2a6P9gCwXU/view?usp=sharing,24.jpg,"Your boss has hired a few interns for the summer. Your boss asks you to stay after work to give them a brief presentation about the university's goals and values but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to stay.",N/A,Do you stay to give the optional presentation?,Yes,No,https://drive.google.com/file/d/1f7AX8AtByV-EKIO86OXhrR2a6P9gCwXU/view?usp=sharing,24.jpg,1
,5,Positive,Work/Career Development,Social Situations,,Writing workshop,"A coworker suggests that your team participates in a workshop on writing for the workplace. You go online and read information about the workshop. As you navigate through the site, the thought of other people looking at your writing makes you feel enthusiastic",N/A,Do you expect to feel uncomfortable if others look at your work?,No,Yes,https://drive.google.com/file/d/1vQbs0ifLnQbnC1ejFEq6WujzKLqZl7vv/view?usp=sharing,25.jpg,"A coworker suggests that your team participates in a workshop on writing for the workplace. You go online and read information about the workshop. As you navigate through the site, the thought of other people looking at your writing makes you feel enthusiastic",N/A,Do you expect to feel uncomfortable if others look at your work?,No,Yes,https://drive.google.com/file/d/1vQbs0ifLnQbnC1ejFEq6WujzKLqZl7vv/view?usp=sharing,25.jpg,1
,6,Positive,Work/Career Development,Social Situations,,Nerve-wracking presentation,"You have to give a presentation to your boss. As you think about the talk, you feel butterflies in your stomach. You feel nervous on the morning of the talk, but you think your nerves will be manageable.",N/A,Are you able to tolerate your anxiety?,Yes,No,https://drive.google.com/file/d/16jiyG_dY7BTG2s8QjNuSQJn_RwkLlqXH/view?usp=sharing,26.jpg,"You have to give a presentation to your boss. As you think about the talk, you feel butterflies in your stomach. You feel nervous on the morning of the talk, but you think your nerves will be manageable.",N/A,Are you able to tolerate your anxiety?,Yes,No,https://drive.google.com/file/d/16jiyG_dY7BTG2s8QjNuSQJn_RwkLlqXH/view?usp=sharing,26.jpg,1
,7,Positive,Work/Career Development,Social Situations,,A small presentation,"You are working on a project you enjoy. However, you were just informed that during the next staff meeting you will have to give a five-minute oral presentation to the rest of the staff. On the evening before the presentation, you feel frightened about the idea of public speaking, and you decide your fear is tolerable.",N/A,Can you handle your fear of giving the oral presentation?,Yes,No,https://drive.google.com/file/d/1V-HyzPWcCSIQCjmLetck1SbZQT1cVtgr/view?usp=sharing,27.jpg,"You are working on a project you enjoy. However, you were just informed that during the next staff meeting you will have to give a five-minute oral presentation to the rest of the staff. On the evening before the presentation, you feel frightened about the idea of public speaking, and you decide your fear is tolerable.",N/A,Can you handle your fear of giving the oral presentation?,Yes,No,https://drive.google.com/file/d/1V-HyzPWcCSIQCjmLetck1SbZQT1cVtgr/view?usp=sharing,27.jpg,1
,8,Resilience/Negation,Work/Career Development,Social Situations,Romantic Relationships,Brief call,"You are in meeting, and you call your significant other during a brief break. You are late getting back into the meeting room, and everyone looks up when you open the door. Others see your actions as disruptive.","After the meeting, you realize that the other students were probably just surprised that the door suddenly opened. Chances are, they think that your opening and closing the door quietly means you are considerate.",Did people think it was rude of you to return to the meeting late?,No,Yes,https://drive.google.com/file/d/1erMRFTmY4lmvlMrKvVk2If-RizKCWZ0l/view?usp=sharing,28.jpg,"You are in meeting, and you call your significant other during a brief break. You are late getting back into the meeting room, and everyone looks up when you open the door. Others see your actions as disruptive.","After the meeting, you realize that the other students were probably just surprised that the door suddenly opened. Chances are, they think that your opening and closing the door quietly means you are considerate.",Did people think it was rude of you to return to the meeting late?,No,Yes,https://drive.google.com/file/d/1erMRFTmY4lmvlMrKvVk2If-RizKCWZ0l/view?usp=sharing,28.jpg,1
,9,Resilience/Negation,Work/Career Development,Social Situations,,Giving a speech,"You are giving a speech at a work convention. As you speak, you look into the crowd and notice your boss’s expression is almost emotionless. It seems like he is making a slight frown.","After the speech, you realize that people often frown slightly when they are concentrating. You think that your boss was most likely feeling impressed.",Does your boss’s expression mean that they are disappointed with your speech?,No,Yes,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,29.jpg,"You are giving a speech at a work convention. As you speak, you look into the crowd and notice your boss’s expression is almost emotionless. It seems like he is making a slight frown.","After the speech, you realize that people often frown slightly when they are concentrating. You think that your boss was most likely feeling impressed.",Does your boss’s expression mean that they are disappointed with your speech?,No,Yes,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,29.jpg,1
,10,Negative,Work/Career Development,,,Unstable WiFi,"You don't have stable internet access at home, and you found out the job you're applying for is remote. You wonder how you'll be able to keep up with your work if you get the job. As you think about the situation, you feel stressed.",N/A,Are you worried about applying to the remote job? ,Yes,No,https://drive.google.com/file/d/1Dyk0jx8bXiVMVELskA1wH2t85AfZV8H8/view?usp=sharing,23.jpg,"You don't have stable internet access at home, and you found out the job you're applying for is remote. You wonder how you'll be able to keep up with your work if you get the job. As you think about the situation, you feel stressed.",N/A,Are you worried about applying to the remote job? ,Yes,No,https://drive.google.com/file/d/1Dyk0jx8bXiVMVELskA1wH2t85AfZV8H8/view?usp=sharing,23.jpg,1
4,1,Positive,Work/Career Development,,,Child Check-In,"You are babysitting, and the child is outside playing with friends. You look out the window to check on them, and they are not there. The child is probably fine.",N/A,Is the child okay?,Yes,No,https://drive.google.com/file/d/1U_K5bUwiMW3lKA5YyP16zf6zBUfbJBlZ/view?usp=sharing,30.jpg,"You are babysitting, and the child is outside playing with friends. You look out the window to check on them, and they are not there. The child is probably fine.",N/A,Is the child okay?,Yes,No,https://drive.google.com/file/d/1U_K5bUwiMW3lKA5YyP16zf6zBUfbJBlZ/view?usp=sharing,30.jpg,2
,2,Positive,Work/Career Development,Finances,,Job Market,"You recently saw on the news that the economy has been particularly bad. Even though your boss typically gives you good reviews, you wonder whether your job is safe. You think you will likely be fine.",N/A,Is it likely that you will be fired?,No,Yes,https://drive.google.com/file/d/1_T7rY6ZMUGkrrUUDGpQvHEG53QIE1J_h/view?usp=sharing,31.jpg,"You recently saw on the news that the economy has been particularly bad. Even though your boss typically gives you good reviews, you wonder whether your job is safe. You think you will likely be fine.",N/A,Is it likely that you will be fired?,No,Yes,https://drive.google.com/file/d/1_T7rY6ZMUGkrrUUDGpQvHEG53QIE1J_h/view?usp=sharing,31.jpg,2
,3,Resilience/Negation,Work/Career Development,Mental Health,,Deleted Project,"You have to turn in an important project today. When you open your computer, you can't find the file anywhere. The project must have been deleted.",You take a deep breath and decide to tell your boss about what happened. You feel ok.,Are you anxious because your project got deleted?,No,Yes,https://drive.google.com/file/d/1GCrKOzwl1UC_Ekj6ZbzSSgZLWAASM60G/view?usp=sharing,32.jpg,"You have to turn in an important project today. When you open your computer, you can't find the file anywhere. The project must have been deleted.",You take a deep breath and decide to tell your boss about what happened. You feel ok.,Are you anxious because your project got deleted?,No,Yes,https://drive.google.com/file/d/1GCrKOzwl1UC_Ekj6ZbzSSgZLWAASM60G/view?usp=sharing,32.jpg,2
,4,Positive,Work/Career Development,Social Situations,,Stuttering in office ,"You are having a conversation with your supervisor in their office. You notice that you are stuttering over your words a bit more than you normally do. As the conversation continues, you decide this is okay.",N/A,Are you embarrassed due to stuttering over your words?,No,Yes,https://drive.google.com/file/d/1aUoa1C9eagfLdwz6V8WTzXzAjHHYPXaJ/view?usp=sharing,33.jpg,"You are having a conversation with your supervisor in their office. You notice that you are stuttering over your words a bit more than you normally do. As the conversation continues, you decide this is okay.",N/A,Are you embarrassed due to stuttering over your words?,No,Yes,https://drive.google.com/file/d/1aUoa1C9eagfLdwz6V8WTzXzAjHHYPXaJ/view?usp=sharing,33.jpg,2
,5,Positive,Work/Career Development,Social Situations,,Train of thought,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is normal.",N/A,Is it normal to lose your train of thought while presenting?,Yes,No,https://drive.google.com/file/d/1PHmQe4AQ2pdApKjmB9uPD73GJXIyik1b/view?usp=sharing,34.jpg,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is normal.",N/A,Is it normal to lose your train of thought while presenting?,Yes,No,https://drive.google.com/file/d/1PHmQe4AQ2pdApKjmB9uPD73GJXIyik1b/view?usp=sharing,34.jpg,2
,6,Positive,Work/Career Development,Social Situations,,Missing meeting,"You get an email from your boss today saying that you are a few minutes late for a scheduled meeting with them that you had completely forgotten about. As you quickly head to their office, you wonder whether they are going to judge you for being late. As you walk into the room, your anxiety is tolerable.",N/A,"During the meeting, your boss will probably think you are...","Competent, even though you made a mistake",Irresponsible and nervous,https://drive.google.com/file/d/17IOmNhMDq3epnJGE8TemGWfg4KUWPytl/view?usp=sharing,35.jpg,"You get an email from your boss today saying that you are a few minutes late for a scheduled meeting with them that you had completely forgotten about. As you quickly head to their office, you wonder whether they are going to judge you for being late. As you walk into the room, your anxiety is tolerable.",N/A,"During the meeting, your boss will probably think you are...","Competent, even though you made a mistake",Irresponsible and nervous,https://drive.google.com/file/d/17IOmNhMDq3epnJGE8TemGWfg4KUWPytl/view?usp=sharing,35.jpg,2
,7,Resilience/Negation,Work/Career Development,Mental Health,,Working to Get Ahead,"You have just been given a job in an office that you really like. To eventually receive the promotion you want, you know that you will have to work very hard for several years. Even then, the outcome is uncertain.","As you envision your likely position in the company down the road, you do not see yourself getting passed by. You are hopeful that you'll land your dream job.",Do you expect to eventually get the job you want?,Yes,No,https://drive.google.com/file/d/1iFL-df-zgCCAJLsGw8Thh-FkkGSlVrbM/view?usp=sharing,36.jpg,"You have just been given a job in an office that you really like. To eventually receive the promotion you want, you know that you will have to work very hard for several years. Even then, the outcome is uncertain.","As you envision your likely position in the company down the road, you do not see yourself getting passed by. You are hopeful that you'll land your dream job.",Do you expect to eventually get the job you want?,Yes,No,https://drive.google.com/file/d/1iFL-df-zgCCAJLsGw8Thh-FkkGSlVrbM/view?usp=sharing,36.jpg,2
